Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
hand,mature,yes,800.000000,1233.788940,2457.000000
hand,mature,yes,800.000000,1233.463989,2452.000000
hand,mature,yes,800.000000,1233.139038,2422.000000
hand,mature,yes,800.000000,1232.813965,2405.000000
hand,mature,yes,800.000000,1232.489014,2433.000000
hand,mature,yes,800.000000,1232.163940,2429.000000
hand,mature,yes,800.000000,1231.839966,2416.000000
hand,mature,yes,800.000000,1231.515015,2458.000000
hand,mature,yes,800.000000,1231.189941,2431.000000
hand,mature,yes,800.000000,1230.864990,2440.000000
hand,mature,yes,800.000000,1230.540039,2459.000000
hand,mature,yes,800.000000,1230.214966,2444.000000
hand,mature,yes,800.000000,1229.890015,2450.000000
hand,mature,yes,800.000000,1229.564941,2411.000000
hand,mature,yes,800.000000,1229.239990,2410.000000
hand,mature,yes,800.000000,1228.916016,2445.000000
hand,mature,yes,800.000000,1228.590942,2441.000000
hand,mature,yes,800.000000,1228.265991,2413.000000
hand,mature,yes,800.000000,1227.941040,2476.000000
hand,mature,yes,800.000000,1227.615967,2476.000000
hand,mature,yes,800.000000,1227.291016,2457.000000
hand,mature,yes,800.000000,1226.965942,2436.000000
hand,mature,yes,800.000000,1226.640991,2424.000000
hand,mature,yes,800.000000,1226.317017,2414.000000
hand,mature,yes,800.000000,1225.991943,2403.000000
hand,mature,yes,800.000000,1225.666992,2387.000000
hand,mature,yes,800.000000,1225.342041,2470.000000
hand,mature,yes,800.000000,1225.016968,2433.000000
hand,mature,yes,800.000000,1224.692017,2454.000000
hand,mature,yes,800.000000,1224.366943,2490.000000
hand,mature,yes,800.000000,1224.041992,2484.000000
hand,mature,yes,800.000000,1223.717041,2481.000000
hand,mature,yes,800.000000,1223.392944,2419.000000
hand,mature,yes,800.000000,1223.067993,2418.000000
hand,mature,yes,800.000000,1222.743042,2452.000000
hand,mature,yes,800.000000,1222.417969,2442.000000
hand,mature,yes,800.000000,1222.093018,2445.000000
hand,mature,yes,800.000000,1221.767944,2447.000000
hand,mature,yes,800.000000,1221.442993,2430.000000
hand,mature,yes,800.000000,1221.118042,2454.000000
hand,mature,yes,800.000000,1220.793945,2413.000000
hand,mature,yes,800.000000,1220.468994,2396.000000
hand,mature,yes,800.000000,1220.144043,2424.000000
hand,mature,yes,800.000000,1219.818970,2421.000000
hand,mature,yes,800.000000,1219.494019,2400.000000
hand,mature,yes,800.000000,1219.168945,2439.000000
hand,mature,yes,800.000000,1218.843994,2434.000000
hand,mature,yes,800.000000,1218.519043,2409.000000
hand,mature,yes,800.000000,1218.193970,2409.000000
hand,mature,yes,800.000000,1217.869995,2463.000000
hand,mature,yes,800.000000,1217.545044,2447.000000
hand,mature,yes,800.000000,1217.219971,2442.000000
hand,mature,yes,800.000000,1216.895020,2406.000000
hand,mature,yes,800.000000,1216.569946,2465.000000
hand,mature,yes,800.000000,1216.244995,2429.000000
hand,mature,yes,800.000000,1215.920044,2415.000000
hand,mature,yes,800.000000,1215.594971,2475.000000
hand,mature,yes,800.000000,1215.270996,2472.000000
hand,mature,yes,800.000000,1214.946045,2480.000000
hand,mature,yes,800.000000,1214.620972,2423.000000
hand,mature,yes,800.000000,1214.296021,2448.000000
hand,mature,yes,800.000000,1213.970947,2450.000000
hand,mature,yes,800.000000,1213.645996,2433.000000
hand,mature,yes,800.000000,1213.321045,2431.000000
hand,mature,yes,800.000000,1212.995972,2443.000000
hand,mature,yes,800.000000,1212.671021,2438.000000
hand,mature,yes,800.000000,1212.347046,2449.000000
hand,mature,yes,800.000000,1212.021973,2485.000000
hand,mature,yes,800.000000,1211.697021,2421.000000
hand,mature,yes,800.000000,1211.371948,2409.000000
hand,mature,yes,800.000000,1211.046997,2474.000000
hand,mature,yes,800.000000,1210.722046,2436.000000
hand,mature,yes,800.000000,1210.396973,2457.000000
hand,mature,yes,800.000000,1210.072021,2479.000000
hand,mature,yes,800.000000,1209.746948,2494.000000
hand,mature,yes,800.000000,1209.422974,2433.000000
hand,mature,yes,800.000000,1209.098022,2416.000000
hand,mature,yes,800.000000,1208.772949,2457.000000
hand,mature,yes,800.000000,1208.447998,2439.000000
hand,mature,yes,800.000000,1208.123047,2416.000000
hand,mature,yes,800.000000,1207.797974,2411.000000
hand,mature,yes,800.000000,1207.473022,2439.000000
hand,mature,yes,800.000000,1207.147949,2393.000000
hand,mature,yes,800.000000,1206.823975,2391.000000
hand,mature,yes,800.000000,1206.499023,2440.000000
hand,mature,yes,800.000000,1206.173950,2430.000000
hand,mature,yes,800.000000,1205.848999,2440.000000
hand,mature,yes,800.000000,1205.524048,2398.000000
hand,mature,yes,800.000000,1205.198975,2437.000000
hand,mature,yes,800.000000,1204.874023,2450.000000
hand,mature,yes,800.000000,1204.548950,2394.000000
hand,mature,yes,800.000000,1204.223999,2380.000000
hand,mature,yes,800.000000,1203.900024,2398.000000
hand,mature,yes,800.000000,1203.574951,2430.000000
hand,mature,yes,800.000000,1203.250000,2454.000000
hand,mature,yes,800.000000,1202.925049,2425.000000
hand,mature,yes,800.000000,1202.599976,2427.000000
hand,mature,yes,800.000000,1202.275024,2408.000000
hand,mature,yes,800.000000,1201.949951,2451.000000
hand,mature,yes,800.000000,1201.625000,2461.000000
hand,mature,yes,800.000000,1201.301025,2455.000000
hand,mature,yes,800.000000,1200.975952,2418.000000
hand,mature,yes,800.000000,1200.651001,2431.000000
hand,mature,yes,800.000000,1200.326050,2420.000000
hand,mature,yes,800.000000,1200.000977,2461.000000
hand,mature,yes,800.000000,1199.676025,2439.000000
hand,mature,yes,800.000000,1199.350952,2435.000000
hand,mature,yes,800.000000,1199.026001,2412.000000
hand,mature,yes,800.000000,1198.701050,2447.000000
